Subject,Course,Detail,Course_code,Title,science_credits,discipline_credit,isci_courses,honorary_credits
BIOL,457,,BIOL 457,Comparative Environmental Physiology,3,3,,
BIOL,458,,BIOL 458,Developmental Neurobiology,3,3,,
BIOL,459,,BIOL 459,Neurobiology of Sensory and Motor Systems,3,3,,
BIOL,460,,BIOL 460,Neurobiology of Vision,3,3,,
BIOL,462,,BIOL 462,Ecological Plant Biochemistry,3,3,,
BIOL,463,,BIOL 463,Gene Regulation in Development,3,3,,
BIOL,464,,BIOL 464,Animal Developmental Genetics,3,3,,
BIOL,465,,BIOL 465,Diversity and Evolution of Fishes,3,3,,
CAPS,301,,CAPS 301,Human Physiology,6,6,,
CAPS,303,,CAPS 303,Laboratory in Human Physiology,3,3,,
CAPS,390,,CAPS 390,Introduction to Microscopic Human Anatomy,3,3,,
CAPS,391,,CAPS 391,Introduction to Gross Human Anatomy,3,3,,
CAPS,421,,CAPS 421,Cell Biology and Human Disease,3,3,,
CAPS,422,,CAPS 422,Mammalian Cardiovascular and Respiratory Physiology,3,3,,
CAPS,423,,CAPS 423,Human Renal and Gastrointestinal Physiology,3,3,,
CAPS,424,,CAPS 424,Mammalian Endocrinology,3,3,,
CAPS,426,,CAPS 426,Nervous System Function in Human Health and Disease,3,3,,
CAPS,431,,CAPS 431,Advanced Laboratory in the Physiology of Human Health and Disease,3,3,,
CAPS,449,,CAPS 449,Graduating Essay,6,6,,
CHEM,300,,CHEM 300,Communicating Chemistry,3,3,,
CHEM,301,,CHEM 301,Aqueous Environmental Chemistry,3,3,,
CHEM,302,,CHEM 302,Atmospheric Environmental Chemistry,3,3,,
CHEM,304,,CHEM 304,Fundamentals of Thermodynamics and Statistical Mechanics,3,3,,
CHEM,305,,CHEM 305,Biophysical Chemistry,3,3,,
CHEM,311,,CHEM 311,Instrumental Analytical Chemistry,3,3,,
CHEM,312,,CHEM 312,Introduction to Quantum Mechanics and Spectroscopy,3,3,,
CHEM,313,,CHEM 313,Advanced Organic Chemistry for the Life Sciences,3,3,,
CHEM,315,,CHEM 315,Chemistry Integrated Laboratory I,1,1,,
CHEM,318,,CHEM 318,Principles of Catalysis,3,3,,
CHEM,325,,CHEM 325,Integrated Chemistry Laboratory I,2,2,,
CHEM,327,,CHEM 327,Introduction to Materials Chemistry,3,3,,
CHEM,330,,CHEM 330,Advanced Organic Chemistry,3,3,,
CHEM,335,,CHEM 335,Chemistry Integrated Laboratory II,3,3,,
CHEM,341,,CHEM 341,Global Challenges: A Chemical Perspective,3,3,,
CHEM,345,,CHEM 345,Integrated Chemistry Laboratory II,2,2,,
CHEM,355,,CHEM 355,Chemistry Integrated Laboratory,1,1,,
CHEM,401,,CHEM 401,Principles of Spectroscopy,3,3,,
CHEM,402,,CHEM 402,Diffraction Methods,3,3,,
CHEM,403,,CHEM 403,Surface Chemistry and Surface Analysis,3,3,,
CHEM,404,,CHEM 404,Computational Chemistry,3,3,,
CHEM,405,,CHEM 405,Biophysical Chemistry,3,3,,
CHEM,406,,CHEM 406,Polymer Chemistry,3,3,,
CHEM,407,,CHEM 407,Statistical Mechanics in Chemistry,3,3,,
CHEM,410,,CHEM 410,Properties of Materials,3,3,,
CHEM,411,,CHEM 411,Synthesis and Chemistry of Natural Products,3,3,,
CHEM,412,,CHEM 412,Electronic Structure of Atoms and Molecules,3,3,,
CHEM,413,,CHEM 413,Bioorganic Chemistry,3,3,,
CHEM,416,,CHEM 416,Physical and Theoretical Organic Chemistry,3,3,,
CHEM,418,,CHEM 418,Organometallic Chemistry,3,3,,
CHEM,445,A,CHEM 445A,Projects in Experimental Chemistry,3,3,,
CHEM,445,B,CHEM 445B,Projects in Experimental Chemistry,3,3,,
CHEM,445,C,CHEM 445C,Projects in Experimental Chemistry,6,6,,
CHEM,449,,CHEM 449,Seminar and Thesis,6,6,,
CHEM,460,,CHEM 460,Organic Synthesis: A Mechanistic Approach,3,3,,
CHEM,461,,CHEM 461,Synthetic Chemical Biology,3,3,,
CHEM,473,,CHEM 473,Structure Determination and Reaction Analysis,3,3,,
CNPS,331,,CNPS 331,Communication Skills in Global Contexts,,3,,
CNPS,362,,CNPS 362,Basic Interviewing Skills,,3,,
CNPS,363,,CNPS 363,Career Counselling,,3,,
CNPS,364,,CNPS 364,Family Education and Consultation,,3,,
CNPS,365,,CNPS 365,Introduction to Theories of Counselling,,3,,
CNPS,426,,CNPS 426,The Role of the Teacher in Guidance,,6,,
CNPS,427,,CNPS 427,Guidance: Planning and Decision-making,,3,,
CNPS,433,,CNPS 433,The Personal and Social Development of the Adult,,3,,
COGS,300,,COGS 300,Understanding and Designing Cognitive Systems,4,4,,
COGS,303,,COGS 303,Research Methods in Cognitive Systems,3,3,,
COGS,401,,COGS 401,Seminar in Cognitive Systems,3,3,,
COGS,402,,COGS 402,Research in Cognitive Systems,3,3,,
CPSC,302,,CPSC 302,Numerical Computation for Algebraic Problems,3,3,,
CPSC,303,,CPSC 303,Numerical Approximation and Discretization,3,3,,
CPSC,304,,CPSC 304,Introduction to Relational Databases,3,3,,
CPSC,310,,CPSC 310,Introduction to Software Engineering,4,4,,
CPSC,311,,CPSC 311,Definition of Programming Languages,3,3,,
CPSC,312,,CPSC 312,Functional and Logic Programming,3,3,,
CPSC,313,,CPSC 313,Computer Hardware and Operating Systems,3,3,,
CPSC,314,,CPSC 314,Computer Graphics,3,3,,
CPSC,317,,CPSC 317,Introduction to Computer Networking,3,3,,
CPSC,319,,CPSC 319,Software Engineering Project,4,4,,
CPSC,320,,CPSC 320,Intermediate Algorithm Design and Analysis,3,3,,
CPSC,322,,CPSC 322,Introduction to Artificial Intelligence,3,3,,
CPSC,330,,CPSC 330,Applied Machine Learning,3,3,,
CPSC,340,,CPSC 340,Machine Learning and Data Mining,3,3,,
CPSC,344,,CPSC 344,Introduction to Human Computer Interaction Methods,3,3,,
CPSC,368,,CPSC 368,Databases in Data Science,3,3,,
CPSC,404,,CPSC 404,Advanced Relational Databases,3,3,,
CPSC,406,,CPSC 406,Computational Optimization,3,3,,
CPSC,410,,CPSC 410,Advanced Software Engineering,3,3,,
CPSC,416,,CPSC 416,Distributed Systems,3,3,,
CPSC,418,,CPSC 418,Parallel Computation,3,3,,
CPSC,420,,CPSC 420,Advanced Algorithms Design and Analysis,3,3,,
CPSC,421,,CPSC 421,Introduction to Theory of Computing,3,3,,
CPSC,422,,CPSC 422,Intelligent Systems,3,3,,
CPSC,425,,CPSC 425,Computer Vision,3,3,,
CPSC,427,,CPSC 427,Video Game Programming,3,3,,
CPSC,430,,CPSC 430,Computers and Society,3,3,,
CPSC,436,A,CPSC 436A,Topics in Computer Science,3,3,,
CPSC,436,C,CPSC 436C,Topics in Computer Science,3,3,,
CPSC,436,E,CPSC 436E,Topics in Computer Science,3,3,,
CPSC,436,N,CPSC 436N,Topics in Computer Science,3,3,,
CPSC,436,R,CPSC 436R,Topics in Computer Science,3,3,,
CPSC,436,S,CPSC 436S,Topics in Computer Science,3,3,,
CPSC,440,,CPSC 440,Advanced Machine Learning,3,3,,
CPSC,444,,CPSC 444,Advanced Methods for Human Computer Interaction,3,3,,
CPSC,447,,CPSC 447,Introduction to Visualization,3,3,,
CPSC,448,A,CPSC 448A,Directed Studies in Computer Science,3,3,,
CPSC,448,B,CPSC 448B,Directed Studies in Computer Science,3,3,,
CPSC,449,,CPSC 449,Honours Thesis,6,6,,
DSCI,310,,DSCI 310,Reproducible and Trustworthy Workflows for Data Science,3,3,,
DSCI,320,,DSCI 320,Visualization for Data Science,3,3,,
DSCI,430,,DSCI 430,"Fairness, Accountability, Transparency and Ethics (FATE) in Data Science",3,3,,
EOSC,310,,EOSC 310,The Earth and the Solar System,,,,
EOSC,314,,EOSC 314,The Ocean Environment,,,,
EOSC,315,,EOSC 315,The Ocean Ecosystem,,,,
EOSC,320,,EOSC 320,Sedimentology,3,3,,
EOSC,321,,EOSC 321,Igneous Petrology,3,3,,
EOSC,322,,EOSC 322,Metamorphic Petrology,3,3,,
EOSC,323,,EOSC 323,Structural Geology I,3,3,,
EOSC,325,,EOSC 325,Principles of Physical Hydrogeology,3,3,,
EOSC,326,,EOSC 326,Earth and Life Through Time,,,,
EOSC,328,,EOSC 328,Field Geology,3,3,,
EOSC,329,,EOSC 329,Quantitative Groundwater Hydrology,3,3,,
EOSC,330,,EOSC 330,Principles of Geomorphology,3,3,,
EOSC,331,,EOSC 331,Introduction to Mineral Deposits,3,3,,
EOSC,332,,EOSC 332,Tectonic Evolution of North America,3,3,,
EOSC,333,,EOSC 333,Elemental and Isotopic Geochemistry,3,3,,
EOSC,340,,EOSC 340,Global Climate Change,3,3,,
EOSC,350,,EOSC 350,"Environmental, Geotechnical, and Exploration Geophysics I",3,3,,
EOSC,352,,EOSC 352,Geophysical Continuum Dynamics,3,3,,
EOSC,353,,EOSC 353,Seismology,3,3,,
EOSC,354,,EOSC 354,Analysis of Time Series and Inverse Theory for Earth Scientists,3,3,,
EOSC,372,,EOSC 372,Introductory Oceanography: Circulation and Plankton,3,3,,
EOSC,373,,EOSC 373,Introductory Oceanography: Climate and Ecosystems,3,3,,
EOSC,410,,EOSC 410,Geoscientific Data Analysis and Empirical Modelling,3,3,,
EOSC,420,,EOSC 420,Volcanology,3,3,,
EOSC,421,,EOSC 421,Advanced Sedimentology,3,3,,
EOSC,422,,EOSC 422,Structural Geology II,3,3,,
EOSC,424,,EOSC 424,Advanced Mineral Deposits,3,3,,
EOSC,425,,EOSC 425,Paleontology,3,3,,
EOSC,426,,EOSC 426,Fundamentals of Geomicrobiology,3,3,,
EOSC,428,,EOSC 428,Field Techniques in Groundwater Hydrology,3,3,,
EOSC,429,,EOSC 429,Groundwater Contamination,3,3,,
EOSC,430,,EOSC 430,Aqueous Geochemistry,3,3,,
EOSC,433,,EOSC 433,Geological Engineering Practice I - Rock Engineering,3,3,,
EOSC,434,,EOSC 434,Geological Engineering Practice II - Soil Engineering,3,3,,
EOSC,442,,EOSC 442,Climate Measurement and Analysis,1,1,,
EOSC,445,,EOSC 445,Engineering Design Project,6,6,,
EOSC,448,B,EOSC 448B,Directed Studies,3,3,,
EOSC,449,,EOSC 449,Thesis,6,6,,
EOSC,453,,EOSC 453,Physics of the Earth and Other Planets,3,3,,
EOSC,470,,EOSC 470,Biological Oceanography,3,3,,
EOSC,471,,EOSC 471,"Waves, Currents and Ocean Mixing",3,3,,
EOSC,472,,EOSC 472,Chemical Oceanography and Marine Geochemistry,3,3,,
EOSC,473,,EOSC 473,Methods in Oceanography,3,3,,
EOSC,474,,EOSC 474,Marine Pollution,3,3,,
EOSC,475,,EOSC 475,Marine Microbiology,3,3,,
EOSC,478,,EOSC 478,Introduction to Fisheries Science,3,3,,
EPSE,301,,EPSE 301,Introduction to Educational Psychology,,3,,
EPSE,303,,EPSE 303,Teaching Highly Able Learners,,3,,
EPSE,312,,EPSE 312,Introduction to the Study of Exceptional Children,,3,,
EPSE,316,,EPSE 316,Learning Disabilities,,3,,
EPSE,320,,EPSE 320,Classroom Inclusion of Students who are Blind and Visually Impaired,,3,,
EPSE,348,,EPSE 348,Family-Centred Practice for Children with Special Needs,,3,,
EPSE,390,A,EPSE 390A,Special Topics,,3,,
EPSE,403,,EPSE 403,Education of Students with Developmental Disabilities in Inclusive Settings,,3,,
EPSE,406,,EPSE 406,Typical and Atypical Development in Infants and Children,,3,,
EPSE,408,,EPSE 408,Educational Programming for Highly Able Learners,,3,,
EPSE,411,,EPSE 411,Augmentative and Alternative Communication for Individuals with Severe Speech and/or Physical Impairments,,3,,
EPSE,426,,EPSE 426,Introduction to the Education of students Who are Deaf or Hard of Hearing,,3,,
EPSE,432,,EPSE 432,Classroom Management,,3,,
EPSE,436,,EPSE 436,Survey of Behaviour Disorders in Children and Adolescents,,3,,
EPSE,437,,EPSE 437,Interventions for Children and Adolescents with Behaviour Disorders,,3,,
EPSE,449,,EPSE 449,Education of Students with Autism,,3,,
EPSE,462,,EPSE 462,Human Development in Education,,3,,
EPSE,481,,EPSE 481,Introduction to Research in Education,,3,,
EPSE,482,,EPSE 482,Introduction to Statistics for Research in Education,,3,,
EPSE,483,,EPSE 483,Reading and Interpreting Research in Education,,3,,
ENVR,300,,ENVR 300,Introduction to Research in Environmental Science,3,3,,
ENVR,400,,ENVR 400,Community Project in Environmental Science,3,3,,
ENVR,402,,ENVR 402,Climate Studies and Action Capstone,3,3,,
ENVR,410,,ENVR 410,"Energy, Environment, and Society",3,3,,
ENVR,420,,ENVR 420,Ecohydrology of Watersheds and Water Systems,3,3,,
ENVR,430,,ENVR 430,Ecological Dimensions of Sustainability,3,3,,
ENVR,440,,ENVR 440,Analytical Methods in Sustainability Science,3,3,,
ENVR,448,A,ENVR 448A,Directed Studies in Environmental Science,3,3,,
FNH,300,,FNH 300,Food Engineering,,3,,
FNH,301,,FNH 301,Food Chemistry,,3,,
FNH,302,,FNH 302,Food Analysis,,3,,
FNH,303,,FNH 303,Food Product Development,,3,,
FNH,309,,FNH 309,Food Processing,,3,,
FNH,313,,FNH 313,Food Microbiology,,3,,3
FNH,325,,FNH 325,Food Science Laboratory I,,3,,
FNH,326,,FNH 326,Food Science Laboratory II,,3,,
FNH,330,,FNH 330,Introduction to Wine Science I,,3,,
FNH,335,,FNH 335,Introduction to Wine Science II,,3,,
FNH,340,,FNH 340,Food Theory and Applications,,4.5,,
FNH,342,,FNH 342,Critical Perspectives on Consumer Food Practices,,3,,
FNH,345,,FNH 345,Counselling Skills in Dietetics,,3,,
FNH,350,,FNH 350,Fundamentals of Nutrition,3,3,,
FNH,351,,FNH 351,"Vitamins, Minerals, and Health",3,3,,
FNH,355,,FNH 355,International Nutrition,,3,,
FNH,370,,FNH 370,Nutrition Assessment,,3,,
FNH,371,,FNH 371,Human Nutrition Over The Life Span,,3,,
FNH,375,,FNH 375,Nutrition Care I,,3,,
FNH,398,,FNH 398,Research Methods in Human Nutrition,,4,,
FNH,402,,FNH 402,Functional Foods,,3,,
FNH,403,,FNH 403,"Food Laws, Regulations and Quality Assurance",,3,,
FNH,404,,FNH 404,Food Safety and Quality Management,,3,,
FNH,405,,FNH 405,Microbiology of Food and Beverage Fermentation,,3,,
FNH,413,,FNH 413,Food Safety,,3,,
FNH,414,,FNH 414,Sustainability in the Food Industry,,3,,
FNH,415,,FNH 415,"Business Concepts in Food, Nutrition, and Health",,3,,
FNH,425,,FNH 425,Food Science Laboratory III,,3,,
FNH,440,,FNH 440,Food Service Systems Management,,3,,
FNH,451,,FNH 451,Nutrient Metabolism and Implications for Health,3,3,,
FNH,455,,FNH 455,Applied International Nutrition,,3,,
FNH,470,,FNH 470,Nutrition Care II,,3,,
FNH,472,,FNH 472,Maternal and Fetal Nutrition,,3,,
FNH,473,,FNH 473,Applied Public Health Nutrition,,3,,
FNH,474,,FNH 474,Sport Nutrition,,3,,
FNH,475,,FNH 475,Nutrition Care III,,3,,
FNH,477,,FNH 477,Nutrition and Disease Prevention,,3,,
FNH,490,,FNH 490,"Advanced Topics in Food, Nutrition, and Health",,3,,
GEOS,300,,GEOS 300,Microscale Weather and Climate,3,3,,
GEOS,303,,GEOS 303,Tropical Ecosystems in a Changing World,3,3,,
GEOS,305,,GEOS 305,Introduction to Hydrology,3,3,,
GEOS,307,,GEOS 307,Biogeography and Global Change,3,3,,
GEOS,370,,GEOS 370,Advanced Geographic Information Science,3,3,,
GEOS,372,,GEOS 372,Cartography,3,3,,
GEOS,373,,GEOS 373,Introductory Remote Sensing,3,3,,
GEOS,401,,GEOS 401,Urban Meteorology,3,3,,
GEOS,406,,GEOS 406,Watershed Geomorphology,3,3,,
GEOS,415,,GEOS 415,River Restoration: Science and Society,3,3,,
GEOS,472,,GEOS 472,Research in Cartography,3,3,,
GEOS,479,,GEOS 479,Research in Geographic Information Science,3,3,,
ISCI,300,,ISCI 300,Interdisciplinary Seminar,1,1,1,
ISCI,311,,ISCI 311,The Size of Things,3,3,3,
ISCI,312,,ISCI 312,Symmetry,3,3,3,
ISCI,320,,ISCI 320,Research Development Project,3,3,3,
ISCI,350,,ISCI 350,Darwinian Medicine,3,3,3,
ISCI,351,,ISCI 351,Why the Big Brain? The Evolution of Human Cognition,3,3,3,
ISCI,360,,ISCI 360,Systems Approaches to Regional Sustainability,3,3,3,
ISCI,361,,ISCI 361,Field Course: Systems Approaches to Regional Sustainability,3,3,3,
ISCI,400,,ISCI 400,Integrated Sciences Graduating Seminar,1,1,1,
ISCI,433,,ISCI 433,Ethical Issues in Science,3,3,3,
ISCI,434,,ISCI 434,Non-Animal Methods in Biomedical Science,6,6,6,
ISCI,448,A,ISCI 448A,Directed Studies,6,6,6,
ISCI,448,C,ISCI 448C,Directed Studies,6,6,6,
ISCI,448,D,ISCI 448D,Directed Studies,6,6,6,
ISCI,449,,ISCI 449,Honors Directed Studies,6,6,6,
ISCI,461,,ISCI 461,Comparative Field Research Course: Systems Approaches to Regional Sustainability,3,3,3,
KIN,300,,KIN 300,Human Athletic Performance,,3,,
KIN,311,,KIN 311,Sensorimotor Control of Human Movement,,3,,
KIN,313,,KIN 313,Neuromuscular Integration of Human Movement,,3,,3
KIN,316,,KIN 316,Biomechanical Properties of Tissues,,3,,3
KIN,320,,KIN 320,Exercise Testing and Prescription,,3,,
KIN,335,,KIN 335,Advanced Applications of Exercise Physiology,,3,,3
KIN,341,,KIN 341,Instructional Strategies for Including Persons with Disabilities in Physical Activity,,3,,
KIN,342,,KIN 342,"Creating Effective, Developmentally Appropriate, Physical Activity Learning Environments",,3,,
KIN,344,,KIN 344,Leisure Services for Persons with a Disability,,3,,
KIN,345,,KIN 345,Foundations of Coaching,,3,,
KIN,355,,KIN 355,Movement Experiences for Young Children,,3,,
KIN,360,,KIN 360,"Sport, Peace, and Conflict",,3,,
KIN,363,,KIN 363,"Leisure, Sport and Popular Culture",,3,,
KIN,411,,KIN 411,Neuroanatomy of Human Movement,,3,,3
KIN,419,,KIN 419,Laboratory Investigations in Neuromechanical Kinesiology,,3,,
KIN,424,,KIN 424,Medical Aspects of Sport and Exercise,,3,,3
KIN,435,,KIN 435,Pulmonary Physiology of Exercise,,3,,3
KIN,438,,KIN 438,"Skeletal Muscle Physiology: Molecular Adaptions to Training, Disuse and Aging",,3,,3
KIN,442,,KIN 442,"Planning Physical Education, Sport and Exercise Programs",,3,,
KIN,444,,KIN 444,Exploring Alternative Methods for Teaching Games and Sports,,3,,
KIN,453,,KIN 453,Understanding and Changing Physical Activity Behaviour,,3,,
KIN,459,,KIN 459,Psychobiology of Physical Activity,,3,,3
KIN,464,,KIN 464,Health Promotion and Physical Activity,,3,,
KIN,465,,KIN 465,"Interculturalism, Health and Physical Activity",,3,,
KIN,468,,KIN 468,Indigenous Health and Wellness,,3,,
KIN,482,A,KIN 482A,Advanced Seminar in Neuromechanics,,3,,3
KIN,482,C,KIN 482C,Advanced Seminar in Neuromechanics,,3,,3
KIN,482,D,KIN 482D,Advanced Seminar in Neuromechanics,,3,,3
KIN,482,E,KIN 482E,Advanced Seminar in Neuromechanics,,3,,3
KIN,483,A,KIN 483A,"Advanced Seminar in Systems Biology, Exercise and Health",,3,,
KIN,484,A,KIN 484A,"Advanced Seminar in Indigenous Sport, Physical Activity and Health",,3,,
KIN,484,B,KIN 484B,"Advanced Seminar in Indigenous Sport, Physical Activity and Health",,3,,
KIN,486,A,KIN 486A,Advanced Seminar in Psychology of Movement,,3,,
